LINEUPS,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
J. Green - I. Smith - V. Cancar - D. Reed - C. Braun,1,1,0,6,16,7,11,63.6,2,3,66.7,0,0,0,0,3,3,5,2,1,0,2,5,0,1
J. Green - R. Jackson - J. Murray - V. Cancar - B. Brown,1,0,1,6,9,4,12,33.3,1,4,25,0,0,0,2,3,5,2,2,0,0,0,4,3,-12
D. Jordan - I. Smith - V. Cancar - D. Reed - B. Hyland,1,0,1,6,15,6,9,66.7,3,5,60,0,0,0,0,2,2,4,2,1,0,0,2,1,2
D. Jordan - R. Jackson - V. Cancar - C. Braun - P. Watson,1,0,1,6,11,5,9,55.6,0,3,0,1,2,50,1,2,3,5,2,1,1,0,1,1,-6
R. Jackson - V. Cancar - Z. Nnaji - C. Braun - P. Watson,1,0,1,5,9,3,9,33.3,0,4,0,3,3,100,0,4,4,2,0,0,2,1,0,2,-4
J. Green - D. Jordan - I. Smith - B. Brown - M. Porter Jr.,1,0,1,5,11,3,9,33.3,0,1,0,5,6,83.3,3,6,9,2,3,1,1,0,1,3,4
J. Green - J. Murray - V. Cancar - B. Hyland - C. Braun,1,0,1,5,9,3,8,37.5,1,3,33.3,2,2,100,1,4,5,1,2,0,0,0,1,1,1
V. Cancar - M. Porter Jr. - Z. Nnaji - B. Hyland - C. Braun,1,0,1,5,9,4,13,30.8,1,5,20,0,0,0,2,3,5,2,0,0,0,1,5,0,-11
D. Jordan - J. Murray - D. Reed - B. Brown - Z. Nnaji,1,0,1,5,5,2,4,50,0,0,0,1,2,50,1,4,5,0,5,0,0,0,3,3,-6
K. Caldwell-Pope - V. Cancar - B. Brown - Z. Nnaji - C. Braun,1,1,0,5,7,3,10,30,1,3,33.3,0,0,0,3,3,6,1,1,2,1,0,0,1,1
J. Green - V. Cancar - D. Reed - B. Hyland - C. Braun,1,1,0,5,6,2,3,66.7,2,2,100,0,0,0,0,4,4,1,7,1,0,0,0,1,0
J. Green - R. Jackson - A. Gordon - J. Murray - B. Brown,1,1,0,5,13,4,9,44.4,0,4,0,5,5,100,2,4,6,2,1,0,1,0,1,5,7
D. Jordan - I. Smith - V. Cancar - B. Brown - B. Hyland,1,0,1,5,11,4,8,50,2,3,66.7,1,2,50,0,3,3,3,0,1,0,1,1,1,-1
J. Green - K. Caldwell-Pope - T. Bryant - B. Brown - C. Braun,1,1,0,5,11,4,9,44.4,2,4,50,1,2,50,0,4,4,2,0,1,1,0,3,1,0
K. Caldwell-Pope - A. Gordon - J. Murray - M. Porter Jr. - B. Hyland,1,1,0,5,12,4,8,50,1,5,20,3,4,75,0,3,3,1,1,0,1,0,2,3,-6
J. Green - I. Smith - V. Cancar - M. Porter Jr. - C. Braun,1,0,1,5,4,2,11,18.2,0,4,0,0,0,0,1,3,4,2,0,0,1,2,1,1,-7
D. Jordan - K. Caldwell-Pope - A. Gordon - B. Brown - M. Porter Jr.,1,1,0,5,13,5,7,71.4,1,2,50,2,4,50,0,4,4,5,1,2,2,0,0,2,5
J. Green - J. Murray - B. Brown - C. Braun - P. Watson,1,0,1,4,10,5,8,62.5,0,2,0,0,0,0,0,4,4,1,1,1,1,0,1,1,4
K. Caldwell-Pope - N. Jokic - J. Murray - M. Porter Jr. - C. Braun,1,1,0,4,13,3,8,37.5,1,3,33.3,6,6,100,1,3,4,3,0,1,0,0,1,4,3
D. Jordan - I. Smith - A. Gordon - D. Reed - B. Brown,1,0,1,4,9,3,5,60,1,1,100,2,2,100,0,2,2,3,2,0,0,0,5,3,-6
J. Green - R. Jackson - K. Caldwell-Pope - B. Brown - Z. Nnaji,1,1,0,4,7,3,4,75,1,2,50,0,0,0,0,2,2,3,2,0,0,0,2,2,-3
